dq_map_id,disease_id,question_id,display_order,created_at
ADHD/2026/ASRS-V1.1/001,ADHD/2026,ASRS-V1.1/001,3001,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/002,ADHD/2026,ASRS-V1.1/002,3002,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/003,ADHD/2026,ASRS-V1.1/003,3003,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/004,ADHD/2026,ASRS-V1.1/004,3004,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/005,ADHD/2026,ASRS-V1.1/005,3005,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/006,ADHD/2026,ASRS-V1.1/006,3006,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/007,ADHD/2026,ASRS-V1.1/007,3007,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/008,ADHD/2026,ASRS-V1.1/008,3008,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/009,ADHD/2026,ASRS-V1.1/009,3009,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/010,ADHD/2026,ASRS-V1.1/010,3010,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/011,ADHD/2026,ASRS-V1.1/011,3011,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/012,ADHD/2026,ASRS-V1.1/012,3012,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/013,ADHD/2026,ASRS-V1.1/013,3013,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/014,ADHD/2026,ASRS-V1.1/014,3014,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/015,ADHD/2026,ASRS-V1.1/015,3015,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/016,ADHD/2026,ASRS-V1.1/016,3016,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/017,ADHD/2026,ASRS-V1.1/017,3017,2026-05-28 09:02:29.97722+00
ADHD/2026/ASRS-V1.1/018,ADHD/2026,ASRS-V1.1/018,3018,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/001,ADHD/2026,COMPASS-31/001,2001,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/002,ADHD/2026,COMPASS-31/002,2002,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/003,ADHD/2026,COMPASS-31/003,2003,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/004,ADHD/2026,COMPASS-31/004,2004,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/005,ADHD/2026,COMPASS-31/005,2005,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/006,ADHD/2026,COMPASS-31/006,2006,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/007,ADHD/2026,COMPASS-31/007,2007,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/008,ADHD/2026,COMPASS-31/008,2008,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/009,ADHD/2026,COMPASS-31/009,2009,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/010,ADHD/2026,COMPASS-31/010,2010,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/011,ADHD/2026,COMPASS-31/011,2011,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/012,ADHD/2026,COMPASS-31/012,2012,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/013,ADHD/2026,COMPASS-31/013,2013,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/014,ADHD/2026,COMPASS-31/014,2014,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/015,ADHD/2026,COMPASS-31/015,2015,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/016,ADHD/2026,COMPASS-31/016,2016,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/017,ADHD/2026,COMPASS-31/017,2017,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/018,ADHD/2026,COMPASS-31/018,2018,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/019,ADHD/2026,COMPASS-31/019,2019,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/020,ADHD/2026,COMPASS-31/020,2020,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/021,ADHD/2026,COMPASS-31/021,2021,2026-05-28 09:02:29.97722+00
ADHD/2026/COMPASS-31/022,ADHD/2026,COMPASS-31/022,2022,2026-05-28 09:02:29.97722+00
