ds_map_id,disease_id,scale_id,display_order,is_required,created_at
ADHD/ASRS-V1.1,ADHD/2026,ASRS-v1.1/2026,3,true,2026-04-07 09:52:56.497476+00
ADHD/COMPASS-31,ADHD/2026,COMPASS-31/2026,2,true,2026-04-07 09:52:56.497476+00
ADHD/DASS-21,ADHD/2026,DASS-21/2026,4,true,2026-04-07 09:52:56.497476+00
ADHD/EQ-5D-5L,ADHD/2026,EQ-5D-5L/2026,1,true,2026-04-07 09:52:56.497476+00
ADHD/SNAP-IV,ADHD/2026,SNAP-IV/2026,5,true,2026-04-07 09:52:56.497476+00
After Stroke/TBI/BARTHEL,AFTERSTROKE/TBI/2026,BARTHEL/2026,8,true,2026-04-07 09:52:56.497476+00
After Stroke/TBI/COMPASS-31,AFTERSTROKE/TBI/2026,COMPASS-31/2026,1,true,2026-04-07 09:52:56.497476+00
After Stroke/TBI/DASS-21,AFTERSTROKE/TBI/2026,DASS-21/2026,6,true,2026-04-07 09:52:56.497476+00
After Stroke/TBI/KPS,AFTERSTROKE/TBI/2026,KPS/2026,2,true,2026-04-07 09:52:56.497476+00
After Stroke/TBI/MAS,AFTERSTROKE/TBI/2026,MAS/2026,4,true,2026-04-07 09:52:56.497476+00
After Stroke/TBI/MoCA,AFTERSTROKE/TBI/2026,MoCA/2026,7,true,2026-04-07 09:52:56.497476+00
After Stroke/TBI/MRC,AFTERSTROKE/TBI/2026,MRC/2026,5,true,2026-04-07 09:52:56.497476+00
After Stroke/TBI/PainDETECT,AFTERSTROKE/TBI/2026,PainDETECT/2026,9,true,2026-04-07 09:52:56.497476+00
After Stroke/TBI/SS-QOL,AFTERSTROKE/TBI/2026,SS-QOL/2026,3,true,2026-04-07 09:52:56.497476+00
ALS/ALSFRS-R,ALS/2026,ALSFRS-R/2026,7,true,2026-04-07 09:52:56.497476+00
ALS/BDI-II,ALS/2026,BDI-II/2026,4,true,2026-04-07 09:52:56.497476+00
ALS/COMPASS-31,ALS/2026,COMPASS-31/2026,2,true,2026-04-07 09:52:56.497476+00
ALS/DASS-21,ALS/2026,DASS-21/2026,3,true,2026-04-07 09:52:56.497476+00
ALS/EQ-5D-5L,ALS/2026,EQ-5D-5L/2026,1,true,2026-04-07 09:52:56.497476+00
ALS/GAD-7,ALS/2026,GAD-7/2026,6,true,2026-04-07 09:52:56.497476+00
ALS/MAS,ALS/2026,MAS/2026,5,true,2026-04-07 09:52:56.497476+00
Ataxia/BDI-II,ATAXIA/2026,BDI-II/2026,7,true,2026-04-07 09:52:56.497476+00
Ataxia/COMPASS-31,ATAXIA/2026,COMPASS-31/2026,2,true,2026-04-07 09:52:56.497476+00
Ataxia/DASS-21,ATAXIA/2026,DASS-21/2026,5,true,2026-04-07 09:52:56.497476+00
Ataxia/DHI,ATAXIA/2026,DHI/2026,3,true,2026-04-07 09:52:56.497476+00
Ataxia/EQ-5D-5L,ATAXIA/2026,EQ-5D-5L/2026,1,true,2026-04-07 09:52:56.497476+00
Ataxia/SARA,ATAXIA/2026,SARA/2026,4,true,2026-04-07 09:52:56.497476+00
Ataxia/VVAS,ATAXIA/2026,VVAS/2026,6,true,2026-04-07 09:52:56.497476+00
Chronic Pain/COMPASS-31,CHRONICPAIN/2026,COMPASS-31/2026,2,true,2026-04-07 09:52:56.497476+00
Chronic Pain/DASS-21,CHRONICPAIN/2026,DASS-21/2026,3,true,2026-04-07 09:52:56.497476+00
Chronic Pain/DN-4,CHRONICPAIN/2026,DN-4/2026,4,true,2026-04-07 09:52:56.497476+00
Chronic Pain/EQ-5D-5L,CHRONICPAIN/2026,EQ-5D-5L/2026,1,true,2026-04-07 09:52:56.497476+00
Chronic Pain/GAD-7,CHRONICPAIN/2026,GAD-7/2026,7,true,2026-04-07 09:52:56.497476+00
Chronic Pain/PainDETECT,CHRONICPAIN/2026,PainDETECT/2026,5,true,2026-04-07 09:52:56.497476+00
Chronic Pain/PRS,CHRONICPAIN/2026,PRS/2026,6,true,2026-04-07 09:52:56.497476+00
Chronic Pain/PSQI,CHRONICPAIN/2026,PSQI/2026,8,true,2026-04-07 09:52:56.497476+00
Dementia/AMTS,DEMENTIA/2026,AMTS/2026,3,true,2026-04-07 09:52:56.497476+00
Dementia/COMPASS-31,DEMENTIA/2026,COMPASS-31/2026,2,true,2026-04-07 09:52:56.497476+00
Dementia/DASS-21,DEMENTIA/2026,DASS-21/2026,8,true,2026-04-07 09:52:56.497476+00
Dementia/DSRS,DEMENTIA/2026,DSRS/2026,5,true,2026-04-07 09:52:56.497476+00
Dementia/EQ-5D-5L,DEMENTIA/2026,EQ-5D-5L/2026,1,true,2026-04-07 09:52:56.497476+00
Dementia/GDS,DEMENTIA/2026,GDS/2026,6,true,2026-04-07 09:52:56.497476+00
Dementia/IADL,DEMENTIA/2026,IADL/2026,7,true,2026-04-07 09:52:56.497476+00
Dementia/MoCA,DEMENTIA/2026,MoCA/2026,4,true,2026-04-07 09:52:56.497476+00
Depression/Anxiety/BDI-II,DEPRESSION/ANXIETY/2026,BDI-II/2026,4,true,2026-04-07 09:52:56.497476+00
Depression/Anxiety/COMPASS-31,DEPRESSION/ANXIETY/2026,COMPASS-31/2026,2,true,2026-04-07 09:52:56.497476+00
Depression/Anxiety/DASS-21,DEPRESSION/ANXIETY/2026,DASS-21/2026,3,true,2026-04-07 09:52:56.497476+00
Depression/Anxiety/EQ-5D-5L,DEPRESSION/ANXIETY/2026,EQ-5D-5L/2026,1,true,2026-04-07 09:52:56.497476+00
Depression/Anxiety/GAD-7,DEPRESSION/ANXIETY/2026,GAD-7/2026,5,true,2026-04-07 09:52:56.497476+00
Depression/Anxiety/MADRS,DEPRESSION/ANXIETY/2026,MADRS/2026,6,true,2026-04-07 09:52:56.497476+00
Depression/Anxiety/PSQI,DEPRESSION/ANXIETY/2026,PSQI/2026,7,true,2026-04-07 09:52:56.497476+00
