question_id,question_code,disease_id,scale_id,ds_map_id,question_text,answer_type,min_value,max_value,is_required,skip_logic,display_order,is_common_scale,created_at
AIS/001,AIS/001,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Sleep induction (time it takes you to fall asleep after turning-off the lights),radio,,,true,,1,false,2026-09-04 00:00:00+00
AIS/002,AIS/002,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Awakenings during the night,radio,,,true,,2,false,2026-09-04 00:00:00+00
AIS/003,AIS/003,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Final awakening earlier than desired,radio,,,true,,3,false,2026-09-04 00:00:00+00
AIS/004,AIS/004,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Total sleep duration,radio,,,true,,4,false,2026-09-04 00:00:00+00
AIS/005,AIS/005,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Overall quality of sleep (no matter how long you slept),radio,,,true,,5,false,2026-09-04 00:00:00+00
AIS/006,AIS/006,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Sense of well-being during the day,radio,,,true,,6,false,2026-09-04 00:00:00+00
AIS/007,AIS/007,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Functioning (physical and mental) during the day,radio,,,true,,7,false,2026-09-04 00:00:00+00
AIS/008,AIS/008,INSOMNIA/2026,AIS/2026,Insomnia/AIS,Sleepiness during the day,radio,,,true,,8,false,2026-09-04 00:00:00+00
ALSFRS-R/001,ALSFRS-R/001,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Speech,radio,,,true,,1,false,2026-09-04 00:00:00+00
ALSFRS-R/002,ALSFRS-R/002,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Salivation,radio,,,true,,2,false,2026-09-04 00:00:00+00
ALSFRS-R/003,ALSFRS-R/003,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Swallowing,radio,,,true,,3,false,2026-09-04 00:00:00+00
ALSFRS-R/004,ALSFRS-R/004,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Handwriting,radio,,,true,,4,false,2026-09-04 00:00:00+00
ALSFRS-R/005,ALSFRS-R/005,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Cutting food and handling utensils,radio,,,true,,5,false,2026-09-04 00:00:00+00
ALSFRS-R/006,ALSFRS-R/006,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Dressing and hygiene,radio,,,true,,6,false,2026-09-04 00:00:00+00
ALSFRS-R/007,ALSFRS-R/007,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Turning in bed and adjusting bed clothes,radio,,,true,,7,false,2026-09-04 00:00:00+00
ALSFRS-R/008,ALSFRS-R/008,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Walking,radio,,,true,,8,false,2026-09-04 00:00:00+00
ALSFRS-R/009,ALSFRS-R/009,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Climbing stairs,radio,,,true,,9,false,2026-09-04 00:00:00+00
ALSFRS-R/010,ALSFRS-R/010,ALS/2026,ALSFRS-R/2026,ALS/ALSFRS-R,Breathing,radio,,,true,,10,false,2026-09-04 00:00:00+00
AMTS/001,AMTS/001,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,How old are you?,radio,,,true,,1,false,2026-09-04 00:00:00+00
AMTS/002,AMTS/002,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What time is it (to nearest hour)?,radio,,,true,,2,false,2026-09-04 00:00:00+00
AMTS/003,AMTS/003,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,Recall address: 42 West Street This should be repeated by the patient to ensure it has been heard correctly.,radio,,,true,,3,false,2026-09-04 00:00:00+00
AMTS/004,AMTS/004,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What year is it?,radio,,,true,,4,false,2026-09-04 00:00:00+00
AMTS/005,AMTS/005,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What is your address?,radio,,,true,,5,false,2026-09-04 00:00:00+00
AMTS/006,AMTS/006,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,"What jobs do these people do? (Show the patient two pictures: a postman and a cook) or 
Who are these two people? (Show pictures of Pope and Queen.)",radio,,,true,,6,false,2026-09-04 00:00:00+00
AMTS/007,AMTS/007,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What is your date of birth?,radio,,,true,,7,false,2026-09-04 00:00:00+00
AMTS/008,AMTS/008,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What year did the First World War start?,radio,,,true,,8,false,2026-09-04 00:00:00+00
AMTS/009,AMTS/009,DEMENTIA/2026,AMTS/2026,Dementia/AMTS,What is the name of the present monarch?,radio,,,true,,9,false,2026-09-04 00:00:00+00
