sq_map_id,scale_id,question_id,display_order,created_at
AIS/2026/AIS/001,AIS/2026,AIS/001,1,2026-09-04 00:00:00+00
AIS/2026/AIS/002,AIS/2026,AIS/002,2,2026-09-04 00:00:00+00
AIS/2026/AIS/003,AIS/2026,AIS/003,3,2026-09-04 00:00:00+00
AIS/2026/AIS/004,AIS/2026,AIS/004,4,2026-09-04 00:00:00+00
AIS/2026/AIS/005,AIS/2026,AIS/005,5,2026-09-04 00:00:00+00
AIS/2026/AIS/006,AIS/2026,AIS/006,6,2026-09-04 00:00:00+00
AIS/2026/AIS/007,AIS/2026,AIS/007,7,2026-09-04 00:00:00+00
AIS/2026/AIS/008,AIS/2026,AIS/008,8,2026-09-04 00:00:00+00
ALSFRS-R/2026/ALSFRS-R/001,ALSFRS-R/2026,ALSFRS-R/001,1,2026-09-04 00:00:00+00
ALSFRS-R/2026/ALSFRS-R/002,ALSFRS-R/2026,ALSFRS-R/002,2,2026-09-04 00:00:00+00
ALSFRS-R/2026/ALSFRS-R/003,ALSFRS-R/2026,ALSFRS-R/003,3,2026-09-04 00:00:00+00
ALSFRS-R/2026/ALSFRS-R/004,ALSFRS-R/2026,ALSFRS-R/004,4,2026-09-04 00:00:00+00
ALSFRS-R/2026/ALSFRS-R/005,ALSFRS-R/2026,ALSFRS-R/005,5,2026-09-04 00:00:00+00
ALSFRS-R/2026/ALSFRS-R/006,ALSFRS-R/2026,ALSFRS-R/006,6,2026-09-04 00:00:00+00
ALSFRS-R/2026/ALSFRS-R/007,ALSFRS-R/2026,ALSFRS-R/007,7,2026-09-04 00:00:00+00
ALSFRS-R/2026/ALSFRS-R/008,ALSFRS-R/2026,ALSFRS-R/008,8,2026-09-04 00:00:00+00
ALSFRS-R/2026/ALSFRS-R/009,ALSFRS-R/2026,ALSFRS-R/009,9,2026-09-04 00:00:00+00
ALSFRS-R/2026/ALSFRS-R/010,ALSFRS-R/2026,ALSFRS-R/010,10,2026-09-04 00:00:00+00
AMTS/2026/AMTS/001,AMTS/2026,AMTS/001,1,2026-09-04 00:00:00+00
AMTS/2026/AMTS/002,AMTS/2026,AMTS/002,2,2026-09-04 00:00:00+00
AMTS/2026/AMTS/003,AMTS/2026,AMTS/003,3,2026-09-04 00:00:00+00
AMTS/2026/AMTS/004,AMTS/2026,AMTS/004,4,2026-09-04 00:00:00+00
AMTS/2026/AMTS/005,AMTS/2026,AMTS/005,5,2026-09-04 00:00:00+00
AMTS/2026/AMTS/006,AMTS/2026,AMTS/006,6,2026-09-04 00:00:00+00
AMTS/2026/AMTS/007,AMTS/2026,AMTS/007,7,2026-09-04 00:00:00+00
AMTS/2026/AMTS/008,AMTS/2026,AMTS/008,8,2026-09-04 00:00:00+00
AMTS/2026/AMTS/009,AMTS/2026,AMTS/009,9,2026-09-04 00:00:00+00
AMTS/2026/AMTS/010,AMTS/2026,AMTS/010,10,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/001,ASRS-v1.1/2026,ASRS-V1.1/001,1,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/002,ASRS-v1.1/2026,ASRS-V1.1/002,2,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/003,ASRS-v1.1/2026,ASRS-V1.1/003,3,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/004,ASRS-v1.1/2026,ASRS-V1.1/004,4,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/005,ASRS-v1.1/2026,ASRS-V1.1/005,5,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/006,ASRS-v1.1/2026,ASRS-V1.1/006,6,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/007,ASRS-v1.1/2026,ASRS-V1.1/007,7,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/008,ASRS-v1.1/2026,ASRS-V1.1/008,8,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/009,ASRS-v1.1/2026,ASRS-V1.1/009,9,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/010,ASRS-v1.1/2026,ASRS-V1.1/010,10,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/011,ASRS-v1.1/2026,ASRS-V1.1/011,11,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/012,ASRS-v1.1/2026,ASRS-V1.1/012,12,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/013,ASRS-v1.1/2026,ASRS-V1.1/013,13,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/014,ASRS-v1.1/2026,ASRS-V1.1/014,14,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/015,ASRS-v1.1/2026,ASRS-V1.1/015,15,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/016,ASRS-v1.1/2026,ASRS-V1.1/016,16,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/017,ASRS-v1.1/2026,ASRS-V1.1/017,17,2026-09-04 00:00:00+00
ASRS-v1.1/2026/ASRS-V1.1/018,ASRS-v1.1/2026,ASRS-V1.1/018,18,2026-09-04 00:00:00+00
BARTHEL/2026/BarthelIndex/001,BARTHEL/2026,BarthelIndex/001,1,2026-09-04 00:00:00+00
BARTHEL/2026/BarthelIndex/002,BARTHEL/2026,BarthelIndex/002,2,2026-09-04 00:00:00+00
BARTHEL/2026/BarthelIndex/003,BARTHEL/2026,BarthelIndex/003,3,2026-09-04 00:00:00+00
BARTHEL/2026/BarthelIndex/004,BARTHEL/2026,BarthelIndex/004,4,2026-09-04 00:00:00+00
BARTHEL/2026/BarthelIndex/005,BARTHEL/2026,BarthelIndex/005,5,2026-09-04 00:00:00+00
BARTHEL/2026/BarthelIndex/006,BARTHEL/2026,BarthelIndex/006,6,2026-09-04 00:00:00+00
BARTHEL/2026/BarthelIndex/007,BARTHEL/2026,BarthelIndex/007,7,2026-09-04 00:00:00+00
BARTHEL/2026/BarthelIndex/008,BARTHEL/2026,BarthelIndex/008,8,2026-09-04 00:00:00+00
BARTHEL/2026/BarthelIndex/009,BARTHEL/2026,BarthelIndex/009,9,2026-09-04 00:00:00+00
BARTHEL/2026/BarthelIndex/010,BARTHEL/2026,BarthelIndex/010,10,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/001,BDI-II/2026,BDI-II/001,1,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/002,BDI-II/2026,BDI-II/002,2,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/003,BDI-II/2026,BDI-II/003,3,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/004,BDI-II/2026,BDI-II/004,4,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/005,BDI-II/2026,BDI-II/005,5,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/006,BDI-II/2026,BDI-II/006,6,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/007,BDI-II/2026,BDI-II/007,7,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/008,BDI-II/2026,BDI-II/008,8,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/009,BDI-II/2026,BDI-II/009,9,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/010,BDI-II/2026,BDI-II/010,10,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/011,BDI-II/2026,BDI-II/011,11,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/012,BDI-II/2026,BDI-II/012,12,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/013,BDI-II/2026,BDI-II/013,13,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/014,BDI-II/2026,BDI-II/014,14,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/015,BDI-II/2026,BDI-II/015,15,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/016,BDI-II/2026,BDI-II/016,16,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/017,BDI-II/2026,BDI-II/017,17,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/018,BDI-II/2026,BDI-II/018,18,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/019,BDI-II/2026,BDI-II/019,19,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/020,BDI-II/2026,BDI-II/020,20,2026-09-04 00:00:00+00
BDI-II/2026/BDI-II/021,BDI-II/2026,BDI-II/021,21,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/001,COMPASS-31/2026,COMPASS-31/001,1,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/002,COMPASS-31/2026,COMPASS-31/002,2,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/003,COMPASS-31/2026,COMPASS-31/003,3,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/004,COMPASS-31/2026,COMPASS-31/004,4,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/005,COMPASS-31/2026,COMPASS-31/005,5,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/006,COMPASS-31/2026,COMPASS-31/006,6,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/007,COMPASS-31/2026,COMPASS-31/007,7,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/008,COMPASS-31/2026,COMPASS-31/008,8,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/009,COMPASS-31/2026,COMPASS-31/009,9,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/010,COMPASS-31/2026,COMPASS-31/010,10,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/011,COMPASS-31/2026,COMPASS-31/011,11,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/012,COMPASS-31/2026,COMPASS-31/012,12,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/013,COMPASS-31/2026,COMPASS-31/013,13,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/014,COMPASS-31/2026,COMPASS-31/014,14,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/015,COMPASS-31/2026,COMPASS-31/015,15,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/016,COMPASS-31/2026,COMPASS-31/016,16,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/017,COMPASS-31/2026,COMPASS-31/017,17,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/018,COMPASS-31/2026,COMPASS-31/018,18,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/019,COMPASS-31/2026,COMPASS-31/019,19,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/020,COMPASS-31/2026,COMPASS-31/020,20,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/021,COMPASS-31/2026,COMPASS-31/021,21,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/022,COMPASS-31/2026,COMPASS-31/022,22,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/023,COMPASS-31/2026,COMPASS-31/023,23,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/024,COMPASS-31/2026,COMPASS-31/024,24,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/025,COMPASS-31/2026,COMPASS-31/025,25,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/026,COMPASS-31/2026,COMPASS-31/026,26,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/027,COMPASS-31/2026,COMPASS-31/027,27,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/028,COMPASS-31/2026,COMPASS-31/028,28,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/029,COMPASS-31/2026,COMPASS-31/029,29,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/030,COMPASS-31/2026,COMPASS-31/030,30,2026-09-04 00:00:00+00
COMPASS-31/2026/COMPASS-31/031,COMPASS-31/2026,COMPASS-31/031,31,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/001,DASS-21/2026,DASS-21/001,1,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/002,DASS-21/2026,DASS-21/002,2,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/003,DASS-21/2026,DASS-21/003,3,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/004,DASS-21/2026,DASS-21/004,4,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/005,DASS-21/2026,DASS-21/005,5,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/006,DASS-21/2026,DASS-21/006,6,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/007,DASS-21/2026,DASS-21/007,7,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/008,DASS-21/2026,DASS-21/008,8,2026-09-04 00:00:00+00
