2026-07-07 13:08:30 [info     ] event_relay_started
2026-07-07 13:08:31 [info     ] event_relay_drained            count=2
2026-07-07 13:11:15 [info     ] event_relay_drained            count=2
2026-07-07 13:14:40 [info     ] event_relay_drained            count=1
2026-07-07 13:14:47 [info     ] event_relay_drained            count=1
2026-07-07 13:18:04 [info     ] event_relay_drained            count=1
2026-07-07 13:18:15 [info     ] event_relay_drained            count=1
2026-07-07 14:26:16 [info     ] event_relay_drained            count=1
2026-07-07 14:27:49 [info     ] event_relay_drained            count=1
2026-07-07 14:31:13 [info     ] event_relay_drained            count=1
2026-07-07 14:35:03 [info     ] event_relay_drained            count=2
2026-07-07 14:35:32 [info     ] event_relay_drained            count=1
2026-07-07 14:37:10 [info     ] event_relay_drained            count=1
2026-07-07 14:38:06 [info     ] event_relay_drained            count=1
2026-07-07 14:38:16 [info     ] event_relay_drained            count=1
2026-07-07 14:39:03 [info     ] event_relay_drained            count=1
2026-07-07 14:39:05 [info     ] event_relay_drained            count=1
2026-07-07 14:39:08 [info     ] event_relay_drained            count=1
2026-07-07 14:40:37 [info     ] event_relay_drained            count=2
2026-07-07 14:42:34 [info     ] event_relay_drained            count=2
2026-07-07 14:43:18 [info     ] event_relay_drained            count=2
2026-07-07 14:44:00 [info     ] event_relay_drained            count=1
2026-07-07 14:44:47 [info     ] event_relay_drained            count=1
2026-07-07 14:45:08 [info     ] event_relay_drained            count=1
2026-07-07 14:45:34 [info     ] event_relay_drained            count=1
2026-07-07 14:47:03 [info     ] event_relay_drained            count=1
2026-07-07 14:48:08 [info     ] event_relay_drained            count=2
2026-07-07 14:48:26 [info     ] event_relay_drained            count=1
2026-07-07 14:48:34 [info     ] event_relay_drained            count=1
2026-07-07 14:48:38 [info     ] event_relay_drained            count=1
2026-07-07 14:52:40 [info     ] event_relay_drained            count=1
2026-07-07 14:52:42 [info     ] event_relay_drained            count=1
2026-07-07 14:52:43 [info     ] event_relay_drained            count=1
2026-07-07 14:55:33 [info     ] event_relay_drained            count=1
2026-07-07 14:56:07 [info     ] event_relay_drained            count=1
2026-07-07 14:56:20 [info     ] event_relay_drained            count=4
2026-07-07 14:56:22 [info     ] event_relay_drained            count=1
2026-07-07 14:57:53 [info     ] event_relay_drained            count=1
2026-07-07 14:57:59 [info     ] event_relay_drained            count=1
